timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1532483312,0.052051,0.22417,1.206285,0.163254,-0.579044,-0.066275,0.050725,-0.222297,-0.973658,0.005305,0.007515,0.029658,9.045837,-28.43924,-41.703613,,,,,,,
,,,,,,,,,,,,,,,,42.47384,-83.404935,244.790771,-1,-1,1532483301,
1532483312,0.04032,0.22899,1.205603,0.264406,-0.557897,-0.008064,0.039257,-0.226994,-0.973104,-0.006222,0.004323,-0.001261,8.566772,-28.43042,-41.552856,,,,,,,
,,,,,,,,,,,,,,,,42.47384,-83.404935,244.790771,-1,-1,1532483310,
1532483312,0.032738,0.233507,1.205677,0.180499,-0.256243,0.024011,0.031844,-0.23139,-0.97234,-0.020705,0.007223,-0.023708,8.252441,-28.437592,-41.648499,,,,,,,
1532483312,0.031643,0.234901,1.206332,0.007477,0.053862,0.037622,0.030768,-0.232747,-0.97205,-0.021934,0.004491,-0.033962,8.012695,-28.415924,-41.618225,,,,,,,
,,,,,,,,,,,,,,,,42.473818,-83.404931,244.790771,-1,-1,1532483312,
1532483312,0.034728,0.233685,1.206881,-0.086949,0.200555,0.011245,0.033778,-0.231564,-0.972233,-0.017787,-0.005177,-0.013134,8.153503,-28.51355,-41.402161,,,,,,,
,,,,,,,,,,,,,,,,42.473818,-83.404931,244.790771,-1,-1,1532483312,
1532483312,0.037841,0.231675,1.206916,-0.097219,0.113439,-0.005334,0.036821,-0.229608,-0.972586,-0.011629,-0.004553,-0.008798,8.410217,-28.451935,-41.490784,,,,,,,
1532483312,0.03854,0.230546,1.20679,-0.017027,-0.011831,-0.017418,0.037511,-0.22851,-0.972819,-0.009221,-0.002493,0.006571,8.347351,-28.55365,-41.859253,,,,,,,
