time10,lat10,lng10,accuracy10,altitude10,strenght10
886,12.9227157,77.6857435,10,796,26
1936,12.9226552,77.68575,9,801,26
3007,12.9226595,77.6858425,25,824,26
3985,12.9227024,77.6858678,19,837,21
4986,12.9227208,77.6858854,17,843,27
5987,12.9227309,77.6859204,15,844,50
6986,12.9227369,77.6859353,14,846,50
7985,12.9227434,77.6859634,12,848,50
8986,12.9227561,77.6859845,11,849,50
10035,12.9227579,77.6859254,10,845,50
11036,12.9227343,77.685829,7,832,50
12036,12.9227307,77.6858099,7,829,50
13036,12.9227253,77.6857953,6,825,50
14037,12.9227245,77.6857847,6,826,21
15086,12.9227223,77.6857712,6,825,16
16085,12.9227234,77.6857652,6,826,16
17086,12.9227275,77.6857611,5,827,15
18135,12.9227332,77.6857546,5,826,18
19185,12.9227392,77.6857512,5,827,12
20185,12.9227437,77.6857517,5,827,19
21186,12.9227475,77.6857499,5,827,29
22235,12.9227468,77.6857484,6,826,29
23236,12.9227449,77.6857432,6,825,24
24236,12.9227433,77.6857387,5,824,20
25236,12.922741,77.6857337,5,823,20
26285,12.9227397,77.6857222,4,822,20
27302,12.9227395,77.6857175,4,822,17
28286,12.9227373,77.6857129,5,822,17
29336,12.9227377,77.6857112,5,823,21
30336,12.9227394,77.6857104,5,823,18
31387,12.9227396,77.6857121,5,823,23
32436,12.922737,77.6857119,5,822,22
33436,12.9227347,77.6857129,5,821,18
34485,12.9227313,77.6857133,5,822,16
35500,12.9227307,77.6857146,5,822,14
36535,12.9227324,77.6857157,5,822,14
37535,12.9227325,77.6857159,5,822,14
38536,12.9227318,77.6857171,5,822,14
39537,12.9227315,77.6857193,5,821,14
40536,12.9227351,77.6857223,6,820,14
41586,12.9227389,77.6857247,5,820,14
42635,12.9227419,77.6857259,5,819,14
43636,12.922742,77.6857242,5,818,14
44635,12.9227413,77.6857176,5,818,32
45636,12.922742,77.6857152,4,817,32
46635,12.9227418,77.6857146,4,817,32
47636,12.9227346,77.6857108,4,816,32
48686,12.9227296,77.6857124,4,816,32
49686,12.9227229,77.6857107,4,815,32
50735,12.9227213,77.6857105,4,815,32
