time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
81,12.9429389,77.5433942,5,797,0.69,29,3
1080,12.9429389,77.5433942,5,797,0.69,29,3
2079,12.9429566,77.5433968,96,797,0.62,29,3
3082,12.9429652,77.5433791,9,797,0.76,29,8
4081,12.9429729,77.5433766,8,797,0.68,29,8
5130,12.9429783,77.5433773,6,797,0,29,9
6179,12.9429864,77.5433769,6,797,0,29,9
7179,12.9429999,77.543378,5,797,0.98,29,9
8180,12.9430115,77.5433827,5,797,1.2,29,9
9179,12.9430239,77.5433846,6,796,0.85,29,10
10179,12.94304,77.5433883,5,794,1.12,29,10
11195,12.9430554,77.5433904,4,794,0.87,29,10
12180,12.9430706,77.5433925,4,795,0.96,29,10
13180,12.9430831,77.543391,4,796,0.72,29,10
14230,12.9430965,77.543388,4,795,1.17,29,10
15231,12.9431082,77.5433863,4,795,0.53,29,10
16280,12.9431181,77.5433841,4,793,0.71,29,10
17279,12.9431304,77.5433828,4,793,1.05,29,10
18280,12.9431454,77.5433794,4,793,1.24,29,10
19331,12.9431605,77.5433762,4,792,1.08,29,10
20331,12.9431748,77.5433798,4,791,1.3,29,10
21380,12.9431876,77.5433848,4,791,0.83,29,10
22380,12.9431989,77.5433896,4,791,1,29,10
23431,12.9432066,77.5433899,4,789,0.82,29,10
24479,12.9432117,77.5433882,4,788,0.59,29,10
25480,12.9432154,77.5433847,4,786,0.57,29,10
26480,12.943219,77.5433805,4,787,0.39,29,10
27483,12.9432217,77.543377,5,788,0.3,29,10
28480,12.9432253,77.5433736,5,789,0.42,29,10
29481,12.943227,77.5433693,6,788,0,29,10
30481,12.943232,77.5433642,5,788,0,29,10
31482,12.9432372,77.5433632,5,788,0,29,10
32530,12.9432416,77.5433609,4,788,0,29,10
33530,12.9432425,77.5433574,4,787,0,29,10
34531,12.9432434,77.5433554,4,787,0,29,10
35531,12.9432451,77.5433542,4,787,0,29,10
36531,12.9432459,77.5433522,4,787,0,29,10
37579,12.9432756,77.5433789,4,786,1.66,29,10
38629,12.943283,77.5433928,4,788,1.07,29,10
39629,12.943285,77.5434081,4,789,1.72,29,10
40630,12.943285,77.5434229,4,791,1.21,29,10
41632,12.9432831,77.5434358,4,790,1.19,29,10
42680,12.9432801,77.5434488,4,791,1.09,29,10
43682,12.9432803,77.5434642,4,792,1.76,29,10
44732,12.943283,77.5434734,4,792,0.55,29,10
45730,12.9432838,77.5434761,4,791,0.18,29,10
46730,12.9432884,77.5434771,4,791,0.59,29,10
47731,12.9432987,77.5434791,4,791,1.16,29,10
48781,12.9433088,77.5434865,4,790,1.28,29,10
49831,12.943319,77.5434967,4,790,1.49,29,10
50831,12.9433253,77.5435059,4,790,0.85,29,10
51882,12.9433272,77.5435138,4,789,0.83,29,10
52886,12.9433268,77.5435247,4,789,1.24,29,10
53931,12.9433251,77.5435305,4,788,0.15,30,10
54930,12.9433231,77.5435309,4,789,0,30,10
55948,12.9433199,77.5435301,4,789,0.35,30,10
56930,12.9433158,77.5435297,4,788,0.32,30,10
57981,12.9433116,77.543529,4,787,0.35,30,10
58980,12.9433087,77.5435314,4,789,0.4,29,10
59982,12.9433092,77.5435351,4,789,0.4,30,10
61030,12.9433111,77.5435388,4,789,0.4,30,10
62031,12.9433128,77.5435397,4,788,0,30,10
63079,12.9433136,77.5435381,4,787,0.15,30,10
64082,12.9433111,77.5435346,9,786,0.29,30,10
65132,12.9433077,77.5435318,9,787,0.3,30,10
66131,12.943303,77.5435291,9,787,0.23,30,10
67131,12.9432944,77.5435213,9,788,0,30,10
68131,12.9432889,77.5435154,9,788,0,30,10
69181,12.9432857,77.5435108,9,788,0,30,10
70180,12.9432834,77.5435101,9,790,0,30,10
71181,12.9432847,77.5435128,9,790,0,30,10
72180,12.9432846,77.5435141,9,789,0,30,10
73234,12.9432849,77.543514,9,789,0,30,10
74230,12.9432854,77.5435132,9,789,0,30,10
75231,12.943285,77.5435126,9,788,0,30,10
76231,12.9432861,77.5435134,9,788,0,30,10
77230,12.9432871,77.5435151,9,788,0,30,10
78231,12.9432875,77.5435159,9,788,0,30,10
79231,12.9432876,77.5435162,9,788,0,30,10
80297,12.9432877,77.543516,9,788,0,30,10
81281,12.9432874,77.5435158,9,788,0,30,10
82329,12.9432873,77.5435156,9,788,0,30,10
83330,12.9432872,77.5435158,9,788,0,30,10
84380,12.9432872,77.5435159,9,788,0,30,10
85381,12.9432872,77.543516,9,788,0,30,10
86379,12.9432873,77.5435163,9,788,0,30,10
87381,12.9432874,77.5435164,9,788,0,30,10
88431,12.9432874,77.5435165,9,788,0,30,10
89430,12.9432873,77.5435165,9,788,0,30,10
90429,12.9432872,77.5435164,9,790,0,30,10
91433,12.9432871,77.5435163,9,789,0,30,10
92430,12.943287,77.5435163,9,789,0,30,10
93431,12.9432869,77.5435163,9,789,0,30,10
94430,12.9432869,77.5435163,9,789,0,30,10
95482,12.9432869,77.5435163,9,789,0,30,10
96499,12.9432868,77.5435163,9,789,0,30,10
97530,12.9432867,77.5435164,9,788,0,30,10
98533,12.9432867,77.5435164,9,788,0,30,10
99529,12.9432865,77.5435161,9,788,0,30,10
100530,12.9432864,77.543516,9,788,0,30,10
101579,12.9432863,77.5435159,9,788,0,30,10
102630,12.9432869,77.5435159,9,788,0,30,10
103630,12.9432874,77.5435159,9,788,0,30,10
104632,12.9432877,77.5435159,9,788,0,30,10
105682,12.9432878,77.5435159,9,788,0,30,10
106681,12.9432879,77.5435388,9,787,2.43,30,10
107729,12.9432828,77.543569,10,787,2.57,30,10
108730,12.9432773,77.5436006,10,787,3.14,30,10
109731,12.943272,77.5436401,10,788,3.94,30,10
110731,12.9432673,77.5436856,10,790,4.21,30,10
111731,12.9432614,77.5437403,10,789,4.66,30,10
112780,12.9432569,77.5437921,10,789,3.9,30,10
113781,12.9432504,77.5438378,10,792,3.9,29,10
114783,12.9432415,77.5438858,9,793,4.53,29,10
115780,12.9432334,77.5439356,10,796,4.11,29,10
116805,12.9432281,77.54398,10,795,3.86,29,10
117781,12.9432239,77.5440245,10,795,4.33,29,10
118781,12.9432203,77.5440652,10,795,3.42,29,10
119830,12.9432173,77.5441006,10,795,3.48,29,10
120832,12.9432176,77.5441326,11,796,3.16,29,10
121831,12.9432212,77.5441609,12,796,3,29,10
122880,12.9432258,77.5441982,12,796,4.09,29,10
123881,12.9432215,77.5442371,11,796,3.99,29,10
124931,12.9432158,77.5442669,11,795,2.82,29,10
125931,12.9432055,77.5442896,12,795,2.69,29,10
126979,12.9431904,77.5443114,12,796,2.86,29,10
127981,12.9431714,77.5443357,12,796,2.98,29,10
129032,12.9431454,77.5443581,12,796,3.19,29,10
130080,12.9431145,77.5443745,12,796,3.15,29,10
131080,12.943086,77.544389,13,796,3,29,10
132080,12.9430535,77.544399,14,795,3.46,29,10
133096,12.943017,77.5444149,14,795,4.04,29,10
134131,12.9429086,77.5444317,14,795,5.12,29,10
135180,12.9428169,77.5444091,14,795,6.29,29,10
136180,12.9427476,77.5445038,14,795,6.94,29,10
137197,12.9426844,77.5445282,15,795,7.16,29,10
138231,12.9426056,77.5445415,16,795,7.32,29,10
139230,12.9425492,77.5445247,16,795,7.35,29,10
140231,12.9425054,77.5445536,16,795,6.42,29,10
141281,12.9424638,77.5445524,19,795,5.76,29,10
142281,12.9424215,77.5445547,19,796,5.4,29,10
143330,12.94237,77.5446043,18,796,5.61,29,10
144394,12.9423382,77.544614,17,795,5.02,30,10
145347,12.942268,77.544591,16,795,5.01,30,10
146484,12.9422261,77.5446152,16,795,5.15,30,10
147378,12.9421743,77.5446322,16,795,5.23,30,10
148381,12.9421372,77.544612,18,795,4.87,30,10
149445,12.942091,77.5446149,18,795,5.32,30,10
150479,12.9420865,77.5447611,16,796,5.04,29,9
151480,12.9420398,77.5447427,17,796,4.91,29,9
152663,12.9419891,77.5447474,16,796,4.59,30,9
