ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LIGHT,SOUND,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time,YYYY-MO-DD HH-MI-SS_SSS
5.5857,3.2813,7.4603,175,39.827,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,27,2018-07-23 23:06:49:985
5.1404,2.4756,7.7213,167,40.122,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,527,2018-07-23 23:06:50:485
3.8726,1.1744,9.3637,151,37.97,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,1027,2018-07-23 23:06:50:985
3.2513,-0.1233,9.4834,142,37.271,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,1528,2018-07-23 23:06:51:486
2.7485,-0.7326,9.4164,145,31.301,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,2027,2018-07-23 23:06:51:985
3.65,-0.6788,8.8418,155,44.284,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,2526,2018-07-23 23:06:52:484
3.7397,0.4381,9.2428,162,46.841,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,3027,2018-07-23 23:06:52:985
3.2465,-0.6955,9.1602,131,42.744,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,3527,2018-07-23 23:06:53:485
3.6212,-0.9373,8.7329,118,37.016,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,4027,2018-07-23 23:06:53:985
3.6069,-0.152,9.4439,126,26.532,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,4526,2018-07-23 23:06:54:484
3.5207,-0.1544,9.5026,126,27.474,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,5027,2018-07-23 23:06:54:985
3.5422,0.6524,9.25,142,25.369,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,5527,2018-07-23 23:06:55:485
3.5159,1.1911,9.0537,233,25.777,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,6026,2018-07-23 23:06:55:984
3.9851,1.1684,8.752,254,46.206,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,6527,2018-07-23 23:06:56:485
4.1216,1.3252,8.8346,252,47.333,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,7027,2018-07-23 23:06:56:985
3.9959,1.1744,9.3805,142,43.735,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,7527,2018-07-23 23:06:57:485
3.9061,1.397,8.7664,145,36.997,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,8026,2018-07-23 23:06:57:984
3.8403,1.9776,8.831,149,26.406,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,8526,2018-07-23 23:06:58:484
3.8942,1.5622,8.9902,145,26.196,42.520325,-83.523384,0,955.5670484,0,84.69678,0,0 / 25,9026,2018-07-23 23:06:58:984
4.3766,1.2809,8.8226,144,26.492,42.520256,-83.523315,787.1,955.5670484,0,48.935486,,0 / 25,9527,2018-07-23 23:06:59:485
4.1911,0.6273,8.3665,136,26.841,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,0 / 25,10027,2018-07-23 23:06:59:985
4.3563,1.0223,8.7113,133,26.136,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,0 / 25,10526,2018-07-23 23:07:00:484
4.4819,1.1468,8.7113,138,25.825,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,0 / 25,11027,2018-07-23 23:07:00:985
4.5298,1.1648,8.7855,140,25.608,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,13 / 22,11526,2018-07-23 23:07:01:484
4.4963,1.3874,8.6371,140,25.995,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,13 / 22,12027,2018-07-23 23:07:01:985
4.4951,1.3982,8.7436,144,53.751,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,13 / 23,12526,2018-07-23 23:07:02:484
4.4389,1.421,8.655,145,50.202,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,13 / 23,13027,2018-07-23 23:07:02:985
4.3239,1.5036,8.8047,145,42.576,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,13 / 23,13527,2018-07-23 23:07:03:485
4.2162,1.5263,8.5557,153,48.736,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,13 / 23,14026,2018-07-23 23:07:03:984
3.9289,1.6089,8.667,151,45.75,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,13 / 23,14527,2018-07-23 23:07:04:485
3.6368,1.2486,8.9627,151,41.615,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,13 / 23,15027,2018-07-23 23:07:04:985
1.8268,-0.1832,9.4104,195,36.051,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,13 / 23,15526,2018-07-23 23:07:05:484
2.1093,0.0395,10.161,237,26.573,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,13 / 23,16027,2018-07-23 23:07:05:985
3.3124,0.4118,9.0094,270,26.496,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,13 / 23,16527,2018-07-23 23:07:06:485
2.5965,2.1943,8.5329,348,40.396,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,13 / 23,17026,2018-07-23 23:07:06:984
1.1612,-0.4417,10.1586,501,25.678,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,13 / 23,17527,2018-07-23 23:07:07:485
2.6803,0.2789,9.59,457,26.621,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,13 / 23,18027,2018-07-23 23:07:07:985
2.2075,-1.3096,7.8817,120,28.069,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,13 / 23,18527,2018-07-23 23:07:08:485
0.929,-0.249,8.8095,164,28.084,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,13 / 23,19026,2018-07-23 23:07:08:984
1.0355,-0.6069,9.5062,135,55.195,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,21-Nov,19527,2018-07-23 23:07:09:485
0.8799,-0.2286,9.9156,111,47.96,42.520256,-83.523315,787.1,953.3401064,0,48.935486,,21-Nov,20026,2018-07-23 23:07:09:984
0.1808,1.6197,8.4515,113,41.076,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,21-Nov,20527,2018-07-23 23:07:10:485
1.7538,0.516,10.3441,145,39.675,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,21-Nov,21027,2018-07-23 23:07:10:985
-0.164,0.6883,10.8314,149,40.343,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,21-Nov,21526,2018-07-23 23:07:11:484
2.0877,0.079,9.511,147,48.158,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,21-Nov,22027,2018-07-23 23:07:11:985
1.9118,0.6776,10.228,135,50.061,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,21-Nov,22526,2018-07-23 23:07:12:484
1.8064,1.8878,9.0393,145,47.16,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,21-Nov,23028,2018-07-23 23:07:12:986
3.5135,1.4293,9.2093,186,30.256,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,21-Nov,23527,2018-07-23 23:07:13:485
4.1599,1.7047,9.0261,283,27.7,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,21-Nov,24027,2018-07-23 23:07:13:985
2.1201,1.1995,8.9184,457,33.264,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,21-Nov,24527,2018-07-23 23:07:14:485
1.0762,1.069,10.5153,386,29.033,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,21-Nov,25027,2018-07-23 23:07:14:985
2.7545,0.504,9.3673,171,41.518,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,21-Nov,25526,2018-07-23 23:07:15:484
1.5598,0.6273,8.8765,149,26.96,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,21-Nov,26027,2018-07-23 23:07:15:985
1.6783,1.7933,9.5062,138,27.864,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,21-Nov,26526,2018-07-23 23:07:16:484
1.8304,1.4365,9.3793,140,27.789,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,21-Nov,27027,2018-07-23 23:07:16:985
2.15,1.3874,9.3386,142,27.141,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,13 / 22,27526,2018-07-23 23:07:17:484
2.2877,0.9912,9.6618,230,25.269,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,13 / 22,28027,2018-07-23 23:07:17:985
1.9142,1.9656,8.9064,228,25.812,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,13 / 22,28527,2018-07-23 23:07:18:485
2.2182,1.093,9.8533,230,26.027,42.520336,-83.52345,861.29,953.3401064,2.34,29.361288,153.9,13 / 22,29027,2018-07-23 23:07:18:985
2.0734,1.1145,9.6187,226,25.905,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,13 / 22,29526,2018-07-23 23:07:19:484
1.9465,1.3587,9.5996,226,25.419,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,13 / 22,30026,2018-07-23 23:07:19:984
2.7138,1.6735,8.7556,226,25.741,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,13 / 22,30527,2018-07-23 23:07:20:485
2.8287,1.0475,9.5014,230,31.808,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,13 / 22,31026,2018-07-23 23:07:20:984
2.6887,1.0523,9.3793,228,46.946,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,13 / 22,31526,2018-07-23 23:07:21:484
2.5881,1.2665,9.2668,230,45.063,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,13 / 22,32026,2018-07-23 23:07:21:984
2.6995,1.0092,9.2488,232,46.285,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,13 / 22,32526,2018-07-23 23:07:22:484
2.9161,1.0858,9.396,230,49.92,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,13 / 22,33026,2018-07-23 23:07:22:984
3.0789,1.2246,9.3996,232,51.564,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,13 / 22,33527,2018-07-23 23:07:23:485
3.3363,1.1325,8.3222,235,47.418,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,13 / 22,34027,2018-07-23 23:07:23:985
3.0526,1.2258,9.1554,230,48.268,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,13 / 22,34527,2018-07-23 23:07:24:485
3.1627,1.1791,9.1698,230,48.279,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,13 / 22,35026,2018-07-23 23:07:24:984
3.0287,1.1791,9.2416,226,27.82,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,14 / 21,35527,2018-07-23 23:07:25:485
2.8563,1.1133,9.5313,226,30.705,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,14 / 21,36028,2018-07-23 23:07:25:986
2.9772,1.0989,9.3027,224,29.845,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,14 / 21,36526,2018-07-23 23:07:26:484
2.5762,1.2737,9.4068,226,28.352,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,14 / 21,37027,2018-07-23 23:07:26:985
2.6863,1.172,9.4152,228,43.028,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,14 / 21,37527,2018-07-23 23:07:27:485
2.8287,1.0678,9.3111,230,49.199,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,14 / 21,38026,2018-07-23 23:07:27:984
2.9676,1.0762,9.3134,230,47.657,42.52035,-83.52358,925.81,953.3401064,0.76,44.041935,350.5,14 / 21,38526,2018-07-23 23:07:28:484
